Name,Latitude,Longitude,Category,Description,City,Icon
Incheon International Airport,37.4602,126.4407,Transportation,Arrival point - Buy T-money cards and KT SIM here,,plane
Gyeongbokgung Palace,37.5796,126.9770,Cultural,Main Joseon palace - FREE last Wednesday or with hanbok - cherry blossoms April 7-14,Seoul,museum
Bukchon Hanok Village,37.5826,126.9833,Cultural,Traditional Korean homes - FREE - 15-20 min walk from Gyeongbokgung,Seoul,museum
Yeouido Park,37.5289,126.9240,Nature,⭐ CHERRY BLOSSOMS - 1800+ trees - peak early-mid April,Seoul,tree
Namsan Park & N Seoul Tower,37.5512,126.9882,Nature,Cherry blossoms April 8-15 - city views - hiking trails,Seoul,tree
Gwangjang Market,37.5708,127.0097,Food,⭐ Seoul's oldest market (1905) - bindaetteok - mayak gimbap - most authentic,Seoul,restaurant
Namdaemun Market,37.5599,126.9777,Food,15th century - Korea's largest traditional market - Kalguksu Alley,Seoul,restaurant
Myeongdong Night Market,37.5636,126.9850,Food,100-150 stalls - lively street food - great for kids,Seoul,restaurant
Lotte World,37.5111,127.0982,Kids,⭐ World's largest indoor theme park - $43 adults/$33 kids - 10am-9pm - Jamsil Station,Seoul,amusement-park
National Museum of Korea,37.5240,126.9804,Cultural,FREE admission - kid-friendly,Seoul,museum
Cheonggyecheon Stream,37.5691,126.9780,Nature,Urban stream walk - family-friendly,Seoul,water
Nami Island,37.7913,127.5264,Explore More,⭐ Romantic tree-lined paths - 1-2h from Seoul - K-drama location,Gapyeong,compass
Petite France,37.6878,127.4364,Explore More,French-themed village - Little Prince exhibits - near Nami Island,Gapyeong,compass
Garden of Morning Calm,37.7456,127.3544,Explore More,Beautiful botanical gardens in spring,Gapyeong,compass
Gyeongju Bomun Lake,35.8291,129.2850,Explore More,⭐ Historic city - cherry blossoms - romantic lakeside - 1h from Busan,Gyeongju,compass
Seokguram Grotto,35.7985,129.3487,Explore More,UNESCO site - near Gyeongju,Gyeongju,compass
Haeundae Beach,35.1586,129.1603,Beach,⭐ Iconic beach - family facilities - beach walks - NO SWIMMING in April (12-17°C water!),Busan,beach
Gwangalli Beach,35.1532,129.1185,Beach,Gwangan Bridge views - 5km walk from Haeundae,Busan,beach
SEA LIFE Busan Aquarium,35.1583,129.1603,Kids,⭐ Next to Haeundae Beach - 10000+ creatures - 80m submarine tunnel - interactive,Busan,aquarium
Gamcheon Culture Village,35.0976,129.0103,Cultural,⭐ Korean Santorini - colorful hillside houses - art installations - stairs/hills,Busan,museum
Beomeosa Temple,35.2366,129.0664,Cultural,Mountain temple - hiking trails (Geumjeongsan) - spring wildflowers - great for active kids,Busan,museum
Jagalchi Fish Market,35.0967,129.0306,Food,Korea's largest seafood market - pick live seafood - educational for kids,Busan,restaurant
Gukje Market,35.1009,129.0302,Food,6 zones - 12 buildings - bargains - 9am-7pm - near BIFF Square,Busan,restaurant
BIFF Square,35.0990,129.0297,Food,Movie memorabilia - ssiat hotteok (sweet pancake) - street food haven,Busan,restaurant
Taejongdae Resort Park,35.0540,129.0830,Nature,Stunning coastal cliffs - forest trails - picnic areas,Busan,tree
Dalmaji Hill,35.1649,129.1827,Nature,Cherry blossoms late March-early April - coastal views,Busan,tree
Wando Ferry Terminal,34.3115,126.7551,Transportation,⚠️ Ferry option to Jeju - 2h 40min ferry vs 1h flight - 2-3h bus from Busan,Wando,ferry
Jeju International Airport,33.5066,126.4929,Transportation,Arrival to Jeju Island - Pick up rental car here,Jeju,plane
Seongsan Ilchulbong (Sunrise Peak),33.4584,126.9424,Nature,⭐ MUST-DO UNESCO crater - 30-min climb - 5000 won - views of Hallasan & Udo Island,Jeju,volcano
Manjanggul Lava Tube,33.5295,126.7717,Nature,UNESCO underground lava tunnels - great for kids,Jeju,volcano
Hallasan National Park,33.3620,126.5290,Nature,Volcanic mountain center of island - various hiking trails for active kids,Jeju,volcano
Jeongbang Waterfall,33.2449,126.5720,Nature,⭐ ONLY waterfall in Korea flowing into sea - 23m high - rocky beach,Jeju,water
Cheonjiyeon Waterfall,33.2468,126.5543,Nature,22m tall - nature reserve - 2000 won adults,Jeju,water
Cheonjeyeon Falls,33.2544,126.4187,Nature,Three-tier waterfall - largest on Jeju,Jeju,water
Hamdeok Beach,33.5432,126.6686,Beach,⭐ BEST for kids - Shallow waters - NO SWIMMING April (12-17°C) - beach play - white sand,Jeju,beach
Hyopjae Beach,33.3941,126.2396,Beach,Calm waters - beach activities - NO SWIMMING in April - white sand,Jeju,beach
Jungmun Saekdal Beach,33.2388,126.4121,Beach,500m white sand - beautiful coastal scenery - beach walks,Jeju,beach
Seopjikoji Cape,33.4239,126.9294,Nature,⭐ Rocky coast path - lighthouse - canola fields (spring) - perfect for 15-20km/day walkers,Jeju,tree
Jusangjeolli Cliffs,33.2376,126.4227,Nature,Dramatic coastal rock formations - walking paths,Jeju,tree
Teddy Bear Museum,33.2505,126.4125,Kids,⭐ Perfect for kids - interactive - 10000/9000 won - near Jungmun,Jeju,teddy-bear
Jeju Maze Park,33.2866,126.2385,Kids,Large hedge maze - observation tower - kids burn energy,Jeju,amusement-park
Udo Island,33.5012,126.9539,Nature,Day trip by ferry - can bike or walk around - perfect for active family,Jeju,island
